fare_type,applicable_time,distance,fare_per_ride,Min,Max
Student card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,20,17.3,18.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,20,18.3,19.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,20,19.3,20.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,20,20.3,21.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),21.3 km - 22.2 km,20,21.3,22.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),22.3 km - 23.2 km,20,22.3,23.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),23.3 km - 24.2 km,20,23.3,24.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),24.3 km - 25.2 km,20,24.3,25.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),25.3 km - 26.2 km,20,25.3,26.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),26.3 km - 27.2 km,20,26.3,27.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),27.3 km - 28.2 km,20,27.3,28.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),28.3 km - 29.2 km,20,28.3,29.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),29.3 km - 30.2 km,20,29.3,30.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),30.3 km - 31.2 km,20,30.3,31.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),31.3 km - 32.2 km,20,31.3,32.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),32.3 km - 33.2 km,20,32.3,33.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),33.3 km - 34.2 km,20,33.3,34.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),34.3 km - 35.2 km,20,34.3,35.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),35.3 km - 36.2 km,20,35.3,36.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),36.3 km - 37.2 km,20,36.3,37.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),37.3 km - 38.2 km,20,37.3,38.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),38.3 km - 39.2 km,20,38.3,39.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),39.3 km - 40.2 km,20,39.3,40.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),Over 40.2 km,20,40.2,999.0
Student card fare,All other timings,Up to 3.2 km,48,0.0,3.2
Student card fare,All other timings,3.3 km - 4.2 km,53,3.3,4.2
Student card fare,All other timings,4.3 km - 5.2 km,59,4.3,5.2
Student card fare,All other timings,5.3 km - 6.2 km,64,5.3,6.2
Student card fare,All other timings,6.3 km - 7.2 km,67,6.3,7.2
Student card fare,All other timings,7.3 km - 8.2 km,70,7.3,8.2
Student card fare,All other timings,8.3 km - 9.2 km,70,8.3,9.2
Student card fare,All other timings,9.3 km - 10.2 km,70,9.3,10.2
Student card fare,All other timings,10.3 km - 11.2 km,70,10.3,11.2
Student card fare,All other timings,11.3 km - 12.2 km,70,11.3,12.2
Student card fare,All other timings,12.3 km - 13.2 km,70,12.3,13.2
Student card fare,All other timings,13.3 km - 14.2 km,70,13.3,14.2
Student card fare,All other timings,14.3 km - 15.2 km,70,14.3,15.2
Student card fare,All other timings,15.3 km - 16.2 km,70,15.3,16.2
Student card fare,All other timings,16.3 km - 17.2 km,70,16.3,17.2
Student card fare,All other timings,17.3 km - 18.2 km,70,17.3,18.2
Student card fare,All other timings,18.3 km - 19.2 km,70,18.3,19.2
Student card fare,All other timings,19.3 km - 20.2 km,70,19.3,20.2
Student card fare,All other timings,20.3 km - 21.2 km,70,20.3,21.2
Student card fare,All other timings,21.3 km - 22.2 km,70,21.3,22.2
Student card fare,All other timings,22.3 km - 23.2 km,70,22.3,23.2
Student card fare,All other timings,23.3 km - 24.2 km,70,23.3,24.2
Student card fare,All other timings,24.3 km - 25.2 km,70,24.3,25.2
Student card fare,All other timings,25.3 km - 26.2 km,70,25.3,26.2
Student card fare,All other timings,26.3 km - 27.2 km,70,26.3,27.2
Student card fare,All other timings,27.3 km - 28.2 km,70,27.3,28.2
Student card fare,All other timings,28.3 km - 29.2 km,70,28.3,29.2
Student card fare,All other timings,29.3 km - 30.2 km,70,29.3,30.2
Student card fare,All other timings,30.3 km - 31.2 km,70,30.3,31.2
Student card fare,All other timings,31.3 km - 32.2 km,70,31.3,32.2
Student card fare,All other timings,32.3 km - 33.2 km,70,32.3,33.2
Student card fare,All other timings,33.3 km - 34.2 km,70,33.3,34.2
Student card fare,All other timings,34.3 km - 35.2 km,70,34.3,35.2
Student card fare,All other timings,35.3 km - 36.2 km,70,35.3,36.2
Student card fare,All other timings,36.3 km - 37.2 km,70,36.3,37.2
Student card fare,All other timings,37.3 km - 38.2 km,70,37.3,38.2
Student card fare,All other timings,38.3 km - 39.2 km,70,38.3,39.2
Student card fare,All other timings,39.3 km - 40.2 km,70,39.3,40.2
Student card fare,All other timings,Over 40.2 km,70,40.2,999.0
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,24,0.0,3.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,32,3.3,4.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,41,4.3,5.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,49,5.3,6.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,56,6.3,7.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,62,7.3,8.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,68,8.3,9.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,71,9.3,10.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),10.3 km - 11.2 km,74,10.3,11.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),11.3 km - 12.2 km,77,11.3,12.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),12.3 km - 13.2 km,80,12.3,13.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),13.3 km - 14.2 km,83,13.3,14.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),14.3 km - 15.2 km,86,14.3,15.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,89,15.3,16.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,92,16.3,17.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),17.3 km - 18.2 km,95,17.3,18.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),18.3 km - 19.2 km,98,18.3,19.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),19.3 km - 20.2 km,101,19.3,20.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),20.3 km - 21.2 km,104,20.3,21.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),21.3 km - 22.2 km,107,21.3,22.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),22.3 km - 23.2 km,110,22.3,23.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),23.3 km - 24.2 km,112,23.3,24.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),24.3 km - 25.2 km,113,24.3,25.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),25.3 km - 26.2 km,114,25.3,26.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),26.3 km - 27.2 km,115,26.3,27.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),27.3 km - 28.2 km,116,27.3,28.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),28.3 km - 29.2 km,117,28.3,29.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),29.3 km - 30.2 km,118,29.3,30.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),30.3 km - 31.2 km,119,30.3,31.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),31.3 km - 32.2 km,120,31.3,32.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),32.3 km - 33.2 km,121,32.3,33.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),33.3 km - 34.2 km,122,33.3,34.2
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),34.3 km - 35.2 km,123,34.3,35.2
